,backside,Kanji,Keyword,Meaning,Alternative Meaning,On readings,Kun readings,Emphasis***,dummy_kana,Level,ONmem,KUNmem,MEANINGmem,Common words,KUNexample,Extra words,Old level,Nanori,Example,Components,No of strokes,Radical,Traditional form,Classification,Koohi Story 1,Koohi Story 2,RTK index (new),Tag,waniplus_level,waniplus_id,waniplus_srs
煎,"セン　い.る　せん.じる　に.る　bake, boil",煎,roast,"broil, parch, roast, boil",,セン,い.る、 に.る、せん.じる,onyomi,,64,,,,"煎餅　せんべい
煎る　いる
煮る　にる",,,,いり,煎る(いる): to parch; to fry; to fire; to broil; to roast; to boil down (in oil),前: in front; before<br>火: fire,13,火,(none),形声 Phonetic,"In many asian restaurants, meat is roasted right in front of you over flames.","At the roast, they make the roastee sit in front of everyone else, over the flames to speak, as the comedians roast him a new one!",310,JLPT.N0 gradeS kanjifreq2001-2500 Kanji_Food.Drink,3,,
煽,セン　あお.る　おだ.てる　stir up,煽,fanning,"fan, flap, instigate, agitate, bolster up, gulp down",,セン,あお.る、 おだ.てる、 おこ.る,kunyomi,,64,,,,"セン        煽動【せんどう】incitement; sedition; agitation; abetting
煽情的【せんじょうてき】inflammatory; lascivious; sensational
あおる        煽る【あおる】to fan; to agitate; to stir upt
おだてる        煽てる【おだてる】to flatter; to instigate",,,,,煽てる(おだてる): (1) to flatter; to soft-soap (2) to instigate; to stir up,火: fire<br>扇: fan; folding fan,,,(none),,Fanning the flames with a fan.,With a fan you can be fanning the fire into a bigger fire. Just make sure it doesn't get out of hand...,2599,JLPT.N0 ShouldSuspend gradeS+,3,,
爺,ヤ　じい　おやじ　grandpa,爺,grandpa,"old man, grampa",,,じい、 じじい、 おやじ、 じじ、 ちち,kunyomi,,64,,,,"爺　じい
親父　おやじ
老爺　ろうや",,,,,,父: father<br>耶: question mark,,,(none),,Father!!! My Father exclaimed when he saw my grandpa again. [exclamation (#2680)].,"""My grandpa, the father of my father, often puts his ear agains the city walls to hear what's going on. Well, Alzheimer...""",2423,JLPT.N0 Kanji_People_Family ShouldSuspend gradeS+,3,,
璧,ヘキ　sphere,璧,"sphere, ball","sphere, ball",,ヘキ,,onyomi,,64,,,,完璧　かんぺき,,,,,完璧(かんぺき): perfect; complete; flawless,辟: false; punish; crime; law<br>玉: jewel; ball,18,玉,(none),形声 Phonetic,Even more valuable and perfect (完璧) than a holed gem is a delicious meatball (ball = たま = 玉) with ketchup. Yum!,It's a little known fact that ketchup is highly corrosive and is used to cut holes into gemstones so they can be put onto chains. This kanji shows a piece of Jade with a blob of ketchup on the top eating a hole through it.,1617,JLPT.N0 gradeS,3,,
瓦,ガ　かわら　グラム　tile,瓦,tile,"tile, gram",,,かわら、 ぐらむ,kunyomi,,64,,,,"煉瓦　レンガ
瓦　かわら
グラム",,,,,瓦(かわら): roof tile<br>瓦斯(ガス): gas<br>瓦(グラム): gram; gramme<br>煉瓦(れんが): brick,丶: dot; tick or dot radical (no. 3),5,瓦,(none),象形 Pictographic,"Horror scene: Hanging from the ceiling, a plough and fishhook dripping with blood down onto the tiled bathroom floor.","[true stroke order] First draw T for Tile, which then becomes I. Then draw an ´L´ fish hook with a dash in the middle to make a mediocre ´e´ that few can see.//ガ wa3 와 (wa).",1108,JLPT.N0 gradeS kanjifreq1501-2000 Kanji_Manufactured.Item,3,,
甥,"セイ　おい　むこ　nephew, husband",甥,nephew,nephew,,,おい、 むこ,kunyomi,,64,,,,"甥っ子　おいっこ
甥姪　せいてつ
外甥　がいせい",,,,,,生: life; genuine; birth<br>男: male,,,(none),,A nephew is someone you can watch grow into a man over his lifetime.,"""Life, male: During a visit to your family, you meet your nephew. You find out that in his short life, your nephew already has collected a great many male things in his room, such as 'dirty' magazines, etc.""",2919,JLPT.N0 Kanji_People_Family ShouldSuspend gradeS+ jinmeiyou,3,,
甦,ソ　よみがえ.る　revived,甦,resucitate,"be resuscitated, revived",,ソ,よみがえ.る,onyomi,,64,,,,"ソ        甦生【そせい】rebirth; resuscitation; rehabilitation; reorganization; reorganisation; regeneration; resurrection; reviving
よみがえる        甦る【よみがえる】to be resurrected; to be recalled (e.g. memories)",,,,,甦る(よみがえる): (1) to be resurrected; to be resuscitated; to be rehabilitated; to be revived; to be refreshed; to be restored (2) to be recalled (e.g. memories); to be brought back,更: grow late; night watch; sit up late; of course; renew; renovate; again; more and more; further<br>生: life; genuine; birth,,,(none),,"""Grow late, life: It had nearly grown too late to resucitate the half-drowned man, but a passer-by was able to breath life back into him, thus resucitating him.""",To breathe life into someone after it might have grown (too) late is to resuscitate them.,2947,JLPT.N0 ShouldSuspend gradeS+ kanjifreq2001-2500,3,,
痒,ヨウ　かゆ.い　itchy,痒,itch,itchy,,ヨウ,かゆ.い、かゆ.がる、 かさ,kunyomi,,64,,,,"掻痒【そうよう】itch; amyctic
痛痒【つうよう】pain and itching; mental anguish
かゆがる        痒がる【かゆがる】to complain of itching; to be bothered by an itch (or rash, etc.); to feel itchy; to have an itch (or rash, etc.); to itch
かゆい        痒い【かゆい】itchy; itching
痒いところに手が届く【かゆいところにてがとどく】to be extremely thorough, focusing on even the finest of details",,,,,痒い(かゆい): itchy; itching,疒: trailing sickness; sick radical (no. 104)<br>羊: sheep,,,(none),,Scrapie is a disease sheep sometimes catch. It causes them to itch so unbearably that they scrape themselves to death.,"""If you think wearing a wool sweater is itchy, just think of how sheep must feel! They must be so sick of wearing that itchy wool all the time!""",2622,JLPT.N0 ShouldSuspend gradeS+,3,,
痣,"あざ　ほくろ　シ　birthmark, mole",痣,"birthmark, mole","birthmark, mole",,シ,あざ、 ほくろ,kunyomi,,64,,,,"痣　あざ
黒子　ホクロ",,,,,,,,,,,,,,,3,,
痩,ソウ　や.せる　get thin,痩,lose weight,get thin,,ソウ,や.せる,kunyomi,,64,,,,"ソウ        痩身【そうしん】slim figure; weight reduction
痩躯【そうく】lean (figure)
やせる        痩せる【やせる】to become thin; to be barren",,,,,痩せる(やせる): (1) to become thin; to lose weight; to reduce (one's) weight; to slim (2) to be barren; to be infertile; to be sterile,疒: trailing sickness; sick radical (no. 104)<br>叟: old person,12,疒,瘦,形声 Phonetic,The most horrific way to lose weight is from that devastating sickness that came from a monkey's crotch.,"The poor monkey obviously had a sickness. He was scratching his crotch the whole time and when he started to lose weight heavily, the caretakers knew they couldn´t save him anymore.",1818,JLPT.N0 gradeS Kanji_Body_Health.Illness,3,,
痺,ヒ　しび.れる　become numb,痺,paralysis,"palsy, become numb, paralysed",,ヒ,しび.れる,onyomi,,64,,,,"ヒ        麻痺【まひ】paralysis; palsy; numbness; stupor
しびれる        痺れる【しびれる】to become numb; to be excited",,,,,麻痺(まひ): paralysis; palsy; numbness; stupor<br>痺れる(しびれる): (1) to become numb; to go to sleep (e.g. a limb) (2) to be excited; to be titillated; to be mesmerized,疒: trailing sickness; sick radical (no. 104)<br>卑: lowly; base; vile; vulgar,,,(none),,"""This sickness seems to prey upon the lowly of society mostly, and causes paralysis in its final stages.""","""Caveman, lowly: Caveman was just a lowly Neanderthaler, trying to survive. But he had healing hands and people were brought in from far to have him cure their paralysis.""",2627,JLPT.N0 ShouldSuspend gradeS+,3,,
瘤,こぶ　lump,瘤,"lump, swelling","lump, swelling",,,こぶ,kunyomi,,64,,,,瘤　コブ,,,,,,,,,,,,,,JLPT.N0 ShouldSuspend gradeS+ kanjifreq2001-2500,3,,
癌,ガン　cancer,癌,cancer,"cancer, cancerous evil",,ガン,,onyomi,,64,,,,癌　ガン,,,,,癌(がん): cancer,疒: trailing sickness; sick radical (no. 104)<br>嵒: rock,,,(none),,"""The SICKNESS called cancer works by self-replication, so that its bad GOODS grow more & more until a vertiable MOUNTAIN of them forms on you-- that's the tumor, the awful sign of cancer.""","""You may have a mountain of goods, but cancer is a sickness that strikes the rich and poor with equal contempt.""",2626,JLPT.N0 Kanji_Body_Health.Illness ShouldSuspend gradeS+ kanjifreq2001-2500,3,,
皰,にきび　ホウ　pimple,皰,pimple,pimple,,,にきび,kunyomi,,64,,,,"面皰　ニキビ
疱瘡　ほうそう",,,,,,,,,,,,,,,3,,
眉,ビ　ミ　まゆ　eyebrow,眉,eyebrow,eyebrow,,ビ,まゆ,kunyomi,,64,,,,"ビ	焦眉【しょうび】emergency; urgency; imminence
眉宇【びう】brow; brows
眉目【びもく】face; looks; features
ミ	眉間【みけん】brow; glabella; middle forehead; area between the eyebrows
まゆ	眉【まゆ】eyebrow; eyebrows
眉毛【まゆげ】eyebrows
引き眉【ひきまゆ】painted eyebrows",,,,,眉(まゆ): eyebrow; eyebrows,丿: katakana no radical (no. 4)<br>目: eye; class; look; insight; experience; care; favor,9,目,(none),象形 Pictographic,The eyebrows hover over the eyes like a divided flag.,Pictograph: opera glasses over eyes ビ ミ まゆ.,2045,JLPT.N1 gradeS kanjifreq2001-2500 Kanji_Body_Head.Neck,3,,
眩,"ゲン　ま.う　まぶ.しい　まばゆ.い　くら.む　dazzled, dizzy",眩,dizzy,"faint, dizzy",,ゲン,ま.う、まぶ.しい、く.れる,kunyomi,,64,,,,"ゲン        眩惑【げんわく】dazzling; blinding
くるめく        目眩く【めくるめく】to dazzle; to blind
まぶしい        眩しい【まぶしい】dazzling; radiant
くらむ        眩む【くらむ】to be dazzled by; to be lost in (greed, lust, etc.); to become dark
めまい        目眩い【めまい】dizziness; giddiness; vertigo
まばゆい        眩い【まばゆい】dazzling; glaring; dazzlingly beautiful",,,,,眩しい(まぶしい): dazzling; radiant<br>目眩(めまい): dizziness; giddiness; vertigo,目: eye; class; look; insight; experience; care; favor<br>玄: mysterious; occultness,,,(none),,If you see mysterious things in front of your eyes you're definitely dizzy.,"""When you see mysterious stars from your eyes, it's a sign that you're dizzy - 眩暈（めまい）。 Maybe becuase you're fighting off a face hugger who has its tail round your neck!""",2629,JLPT.N0 ShouldSuspend gradeS+,3,,
碗,ワン　teacup,碗,teacup,"porcelain bowl, tea cup",,ワン,,onyomi,,64,,,,"茶碗
お椀",,,,,碗(わん): bowl (porcelain),石: stone<br>宛: address; just like; fortunately,,,(none),,Teacups at the Japanese restaurant are usually made of stone and have the name and address of the restaurant written on them.,Teacup = 茶碗（ちゃわん）. Pieces of stone(?) that everyone has at their address.,2637,JLPT.N0 ShouldSuspend gradeS+ jinmeiyou,3,,
禿,トウ　はげ　は.げる　bald,禿,bald,"become bald, bare, wear out, waste away, little girl employed at a brothel",,トク,はげ、は.げる、ちび.る、 かむろ ,kunyomi,,64,,,,"トク        禿頭【とくとう】bald head; baldness
禿頭病【とくとうびょう】alopecia; loss of hair",,,,,,禾: 2-branch tree radical (no. 115)<br>八: eight; eight radical (no. 12),,,(none),,The dude was so upset about going bald that he covered himself with a wheat sack so that only his legs were showing.,"""Because the poor guy went bald, he made a big, big hat out of wheat stalks. But it was so big, that it covered his whole torso, so that basically only his walking legs were visible under it.""",2652,JLPT.N0 ShouldSuspend gradeS+,3,,
稽,ケイ　かんが.える　compare and consider,稽,training,"think, consider",,ケイ,,onyomi,,64,,,,"稽古　けいこ
滑稽　こっけい
無稽　むけい
稽える　かんがえる",,,,,稽古(けいこ): practice; practise; training; study<br>滑稽(こっけい): funny; humorous; humourous; comical; laughable; ridiculous; joking,禾: 2-branch tree radical (no. 115)<br>尤: reasonable; just; natural; superb; outstanding; plausible<br>旨: delicious; relish; show a liking for; purport; will; clever; expert,15,禾,(none),会意 Compound Ideographic,"After a hard day of training, wheat is understandably delicious.","After training hard and eating Wheaties for months, you are understandably thrilled to sink your spoon into a delicious hot fudge sundae.",983,JLPT.N0 gradeS kanjifreq2001-2500,3,,
窄,"サク　すぼ.む　せま.い　tight, narrow",窄,tight,"narrow, fold, furl, shrug, pucker, shut, close",,サク,すぼ.める、 つぼ.める、 せま.い,kunyomi,,64,,,,"サク        狭窄【きょうさく】stricture; stenosis; contraction
幽門狭窄【ゆうもんきょうさく】pyloric stenosis
視野狭窄【しやきょうさく】narrowing of visual field; narrow-mindedness; lack of vision",,,,,見窄らしい(みすぼらしい): shabby; seedy,穴: hole; aperture; slit; cave; den<br>乍: though; notwithstanding; while; during; both; all,,,(none),,That hole is still too tight. Bring the saw to enlarge it!,Use a saw to enlarge a hole that's too tight.,2660,JLPT.N0 ShouldSuspend gradeS+ jinmeiyou,3,,
窪,くぼ.む　depression,窪,depression,"depression, cave in, sink, become hollow",,,くぼ.む、 くぼ.み、 くぼ.まる、 くぼ,kunyomi,,64,,,,窪む　くぼむ,,,,,,穴: hole; aperture; slit; cave; den<br>水: water<br>圭: square jewel; corner; angle; edge,,,(none),,A depression is a hole in the ground. Water naturally collects there which provides moisture for vines to grow.,The depression in the ground become a trap: the hole was filled with water and covered with ivy.,1421,JLPT.N0 ShouldSuspend gradeS+ jinmeiyou kanjifreq1501-2000,3,,
窶,ク　やつ.れる　emaciated,窶,emaciated,emaciated,,ク,やつ.れる、や.つる,kunyomi,,64,,,,"窶れる　やつれる
貧窶　ひんく",,,,,,,,,,,,,,,3,,
竿,カン　pole,竿,pole,"pole, rod, scale beam, violin neck",,カン,さお,kunyomi,,64,,,,"竹竿　たけざお
竿頭　かんとう",,,,,"竿(さお): (1) rod; pole (2) neck (of a shamisen, etc.); shamisen (3) beam (i.e. the crossbar of a balance) (4) single line (esp. as a flying formation for geese) (5) penis (6) counter for flags (on poles); counter for long, thin Japanese sweets (e.g. youkan)",竹: bamboo<br>干: dry; parch,,,(none),,In Japan they use bamboo poles to dry their clothes on.,bamboo cane (#2642) + bamboo pole = bamboo clothlines.,2676,JLPT.N0 ShouldSuspend gradeS+ jinmeiyou kanjifreq2001-2500,3,,
